time,open,high,low,close,tick_volume,spread,real_volume
1708066800,2003.55,2004.25,2003.46,2003.7,347,20,0
1708067700,2003.7,2003.89,2003.27,2003.71,352,20,0
1708068600,2003.72,2004.52,2003.62,2004.3,411,18,0
1708069500,2004.26,2004.72,2003.9,2004.43,444,20,0
1708070400,2004.33,2004.73,2003.77,2003.88,436,20,0
1708071300,2003.9,2003.9,2002.58,2003.12,955,20,0
1708072200,2003.13,2003.98,2002.8,2003.83,1013,19,0
1708073100,2003.81,2003.92,2003.42,2003.75,561,19,0
1708074000,2003.74,2004.75,2003.36,2004.33,1141,19,0
1708074900,2004.13,2005.25,2003.8,2004.9,1316,19,0
1708075800,2004.9,2006.52,2004.48,2005.95,1808,16,0
1708076700,2005.74,2006.42,2004.87,2005.13,1559,16,0
1708077600,2005.01,2005.69,2004.43,2004.61,1676,16,0
1708078500,2004.61,2005.35,2004.23,2004.94,1487,16,0
1708079400,2004.95,2005.21,2004.38,2005.07,1140,16,0
1708080300,2005.06,2005.71,2003.79,2005.01,1628,16,0
1708081200,2005.02,2005.41,2004.41,2004.43,1390,16,0
1708082100,2004.43,2006.14,2004.16,2005.99,1092,16,0
1708083000,2005.99,2006.52,2005.12,2005.38,1539,16,0
1708083900,2005.42,2005.47,2004.9,2005.03,1016,16,0
1708084800,2005.02,2005.56,2004.62,2005.33,1026,16,0
1708085700,2005.32,2006.22,2005.09,2005.61,1175,16,0
1708086600,2005.63,2007.25,2005.33,2007.1,1471,16,0
1708087500,2006.99,2007.6,2006.4,2007.14,1863,16,0
1708088400,2007.14,2007.32,2006.16,2007.19,1316,16,0
1708089300,2007.09,2007.63,2006.59,2006.74,1219,16,0
1708090200,2006.84,2007.9,2006.76,2007.38,1393,16,0
1708091100,2007.37,2007.74,2006.67,2007.25,1329,16,0
1708092000,2007.25,2008.0,2006.81,2007.11,1801,16,0
1708092900,2007.22,2008.18,2006.97,2007.37,1276,16,0
1708093800,2007.36,2007.84,2006.94,2007.07,1123,16,0
1708094700,2007.08,2007.56,2006.31,2006.83,1604,16,0
1708095600,2006.83,2007.05,2005.57,2005.8,2188,16,0
1708096500,2005.8,2006.94,2005.44,2006.54,2540,16,0
1708097400,2006.33,2006.63,1995.19,1998.36,5634,16,0
1708098300,1998.38,2004.52,1998.1,2001.32,4276,16,0
1708099200,2001.53,2003.46,1998.9,1999.21,3539,16,0
1708100100,1999.21,1999.47,1996.4,1997.63,3412,16,0
1708101000,1997.62,2000.52,1996.04,1998.69,4302,16,0
1708101900,1998.7,1999.2,1995.24,1997.55,3656,16,0
1708102800,1997.76,2005.29,1997.17,2004.38,4270,16,0
1708103700,2004.37,2006.84,2004.12,2006.27,4242,16,0
1708104600,2006.15,2011.13,2004.69,2009.99,3977,16,0
1708105500,2010.0,2010.12,2006.84,2008.02,3916,16,0
1708106400,2008.0,2010.49,2007.65,2010.02,3354,16,0
1708107300,2010.05,2010.97,2008.1,2008.56,3037,16,0
1708108200,2008.57,2009.9,2007.1,2009.56,2519,16,0
1708109100,2009.58,2010.11,2008.44,2009.18,2131,16,0
1708110000,2009.18,2010.27,2008.65,2010.22,2041,18,0
1708110900,2010.23,2010.96,2009.7,2010.42,2055,18,0
1708111800,2010.41,2012.68,2009.92,2011.95,1946,18,0
1708112700,2011.97,2014.5,2011.82,2013.21,2407,18,0
1708113600,2013.32,2015.06,2012.97,2013.73,2447,18,0
1708114500,2013.72,2014.33,2010.96,2012.04,2552,18,0
1708115400,2012.03,2013.13,2011.79,2012.94,1659,18,0
1708116300,2012.95,2014.38,2012.65,2013.73,1492,18,0
1708117200,2013.75,2014.86,2013.75,2014.36,1499,18,0
1708118100,2014.37,2015.24,2014.16,2014.74,1382,18,0
1708119000,2014.75,2014.92,2012.22,2012.78,1715,18,0
1708119900,2012.68,2013.07,2011.63,2012.6,1815,18,0
1708120800,2012.6,2012.74,2011.12,2011.69,1686,18,0
1708121700,2011.59,2012.66,2011.39,2012.46,1189,18,0
1708122600,2012.45,2013.19,2012.08,2012.97,1037,18,0
1708123500,2012.96,2013.04,2011.8,2011.8,1187,18,0
1708124400,2011.88,2013.36,2011.81,2013.05,447,28,0
1708125300,2013.05,2013.51,2012.86,2012.88,345,26,0
1708126200,2012.86,2013.4,2012.74,2013.38,467,29,0
1708127100,2013.39,2013.94,2013.04,2013.58,404,29,0
1708304400,2012.06,2015.97,2011.41,2014.27,1160,20,0
1708305300,2014.26,2015.47,2011.38,2012.73,623,20,0
1708306200,2012.73,2014.13,2012.43,2013.93,645,20,0
1708307100,2013.95,2014.4,2013.67,2013.92,558,20,0
1708308000,2013.82,2016.63,2013.7,2016.43,835,20,0
1708308900,2016.7,2018.58,2015.96,2017.23,1114,20,0
1708309800,2017.2,2017.87,2016.23,2016.57,759,20,0
1708310700,2016.6,2020.02,2016.52,2018.74,1052,20,0
1708311600,2018.75,2020.5,2016.26,2020.02,2291,20,0
1708312500,2019.99,2020.81,2017.63,2017.79,1499,20,0
1708313400,2017.78,2018.99,2016.78,2017.87,1104,20,0
1708314300,2017.89,2020.19,2017.57,2019.86,1060,20,0
